Tahun,CAR,ROA,NIM,LDR,BOPO,PDB Konstant,PDBHB
201201,18.41,3.70,6.06,78.57,91.78,633243,1975475
201202,18.41,3.62,5.40,70.43,85.96,633243,1975475
201203,18.28,3.05,5.14,81.17,76.68,633243,1975475
201204,17.97,2.98,4.31,81.61,76.70,651107,2051048
201205,17.87,3.05,5.33,82.57,76.75,651107,2051048
201206,17.49,3.16,5.38,82.55,74.68,651107,2051048
201207,17.28,3.13,5.41,82.55,77.68,671781,2119649
201208,17.29,3.07,5.43,83.70,79.48,671781,2119649
201209,17.41,3.09,5.45,83.33,79.03,671781,2119649
201210,17.31,3.10,5.48,83.78,78.72,662008,2095693
201211,17.44,3.12,5.48,83.61,80.79,662008,2095693
201212,17.43,3.11,5.49,83.58,80.78,662008,2095693
201301,19.31,3.16,5.53,83.47,86.57,1959689,2232478
201302,19.29,2.92,5.34,84.35,85.60,1959689,2232478
201303,19.08,3.03,5.41,84.93,84.03,1959689,2232478
201304,18.74,2.96,5.42,85.17,83.42,2036919,2337789
201305,18.68,2.99,5.31,85.84,83.26,2036919,2337789
201306,18.08,3.02,5.41,86.80,85.28,2036919,2337789
201307,18.08,3.00,5.43,88.68,86.40,2103335,2484364
201308,18.02,3.03,5.46,88.88,85.58,2103335,2484364
201309,18.11,3.06,5.48,88.91,85.14,2103335,2484364
201310,18.48,3.09,5.50,89.47,83.51,2058251,2470105
201311,18.72,3.09,4.88,89.97,82.05,2058251,2470105
201312,18.13,3.08,4.89,89.70,83.06,2058251,2470105
201401,19.91,2.90,4.17,90.47,82.93,2058585,2506300
201402,19.91,2.79,4.18,90.47,79.48,2058585,2506300
201403,19.77,3.01,4.28,91.17,77.34,2058585,2506300
201404,19.33,2.93,4.26,90.79,77.19,2137386,2618947
201405,19.48,2.98,4.22,90.30,76.20,2137386,2618947
201406,19.45,3.02,4.22,90.25,75.45,2137386,2618947
201407,19.39,2.91,4.20,92.19,76.54,2207344,2746762
201408,19.70,2.90,4.21,90.63,76.37,2207344,2746762
201409,19.53,2.91,4.21,88.93,76.14,2207344,2746762
201410,19.63,2.89,4.24,88.45,76.14,2161344,2697695
201411,19.77,2.87,4.24,88.65,76.16,2161344,2697695
201412,19.57,2.85,4.23,89.42,76.29,2161344,2697695
201501,21.01,2.82,4.24,88.48,82.15,2157848,2728289
201502,21.26,2.51,4.06,88.26,81.59,2157848,2728289
201503,20.98,2.69,5.30,87.58,79.49,2157848,2728289
201504,20.79,2.53,5.30,87.94,79.94,2238762,2868797
201505,20.51,2.45,5.33,88.72,80.42,2238762,2868797
201506,20.28,2.29,5.32,88.46,81.40,2238762,2868797
201507,20.78,2.27,5.32,88.50,81.39,2312640,2992674
201508,20.73,2.30,5.32,88.81,81.46,2312640,2992674
201509,20.62,2.31,5.32,88.54,81.82,2312640,2992674
201510,21.05,2.30,5.34,89.74,81.11,2273262,2941968
201511,21.33,2.33,5.25,90.47,81.62,2273262,2941968
201512,21.39,2.32,5.39,92.11,81.49,2273262,2941968
201601,21.75,2.51,5.63,90.65,84.86,2264090,2931446
201602,21.93,2.29,5.47,89.50,84.22,2264090,2931446
201603,22.00,2.44,5.55,89.60,82.96,2264090,2931446
201604,21.95,2.38,5.56,89.52,82.30,2354798,3075135
201605,22.41,2.34,5.60,90.32,82.36,2354798,3075135
201606,22.56,2.31,5.59,91.19,82.23,2354798,3075135
201607,23.19,2.35,5.59,90.18,81.37,2428570,3205452
201608,23.26,2.36,5.59,90.04,81.31,2428570,3205452
201609,22.60,2.38,5.65,91.71,81.02,2428570,3205452
201610,23.19,2.41,5.65,90.77,81.26,2385577,3194776
201611,23.04,2.37,5.62,90.70,80.64,2385577,3194776
201612,22.93,2.23,5.63,90.70,82.22,2385577,3194776
201701,23.21,2.46,5.39,89.59,83.94,2378097,3227762
201702,23.18,2.35,5.28,89.12,81.69,2378097,3227762
201703,22.88,2.50,5.38,89.12,80.15,2378097,3227762
201704,22.79,2.48,5.35,89.50,79.81,2473433,3366096
201705,22.86,2.46,5.36,88.57,79.70,2473433,3366096
201706,22.74,2.47,5.35,89.31,79.00,2473433,3366096
201707,23.23,2.49,5.35,89.20,78.85,2552302,3503438
201708,23.34,2.47,5.35,89.17,78.90,2552302,3503438
201709,23.25,2.47,5.33,88.74,78.71,2552302,3503438
201710,23.49,2.49,5.32,88.68,78.39,2508872,3489915
201711,23.37,2.48,5.31,88.96,78.37,2508872,3489915
201712,23.18,2.45,5.32,90.04,78.64,2508872,3489915
201801,23.64,2.50,5.19,89.10,81.80,2498488,3511653
201802,23.24,2.36,5.00,89.21,81.09,2498488,3511653
201803,33.65,2.55,5.07,90.19,78.76,2498488,3511653
201804,22.25,2.40,5.07,90.43,79.59,2603748,3685273
201805,22.19,2.38,5.09,91.99,79.43,2603748,3685273
201806,22.01,2.43,5.11,92.76,79.46,2603748,3685273
201807,22.56,2.46,5.12,93.11,79.05,2684186,3841755
201808,22.83,2.47,5.14,93.79,79.26,2684186,3841755
201809,22.91,2.50,5.14,94.09,70.13,2684186,3841755
201810,22.97,2.52,5.13,93.71,78.71,2638894,3798675
201811,23.32,2.52,5.12,93.19,78.03,2638894,3798675
201812,22.97,2.55,5.14,94.78,77.86,2638894,3798675
201901,23.22,2.59,4.92,93.97,87.79,2625126,3782627
201902,23.45,2.45,4.81,94.12,85.33,2625126,3782627
201903,23.42,2.60,4.86,94.00,82.92,2625126,3782627
201904,23.21,2.42,4.87,94.25,83.48,2735403,3964191
201905,22.43,2.41,4.90,96.19,81.51,2735403,3964191
201906,22.63,2.51,4.90,94.98,80.24,2735403,3964191
201907,23.19,2.50,4.90,94.48,81.08,2818722,4067227
201908,23.93,2.49,4.90,94.66,80.60,2818722,4067227
201909,23.28,2.48,4.90,94.34,80.50,2818722,4067227
201910,23.54,2.48,4.90,93.96,80.65,2769788,4018491
201911,23.77,2.47,4.89,93.50,79.67,2769788,4018491
201912,23.40,2.47,4.91,94.43,79.39,2769788,4018491
202001,22.83,2.70,4.96,93.36,83.49,2703149,3922557
202002,22.33,2.49,4.81,92.50,83.62,2703149,3922557
202003,21.67,2.57,4.31,92.55,88.84,2703149,3922557
202004,22.08,2.34,4.57,92.18,84.85,2589818,3687807
202005,22.20,2.06,4.50,90.94,84.96,2589818,3687807
202006,22.55,1.94,4.46,89.10,84.94,2589818,3687807
202007,23.03,1.90,4.44,88.09,85.09,2720479,3894617
202008,23.50,1.90,4.43,85.38,84.97,2720479,3894617
202009,23.52,1.76,4.41,83.46,86.15,2720479,3894617
202010,23.83,1.70,4.41,83.07,86.27,2708997,3929171
202011,24.25,1.64,4.41,82.33,86.04,2708997,3929171
202012,23.89,1.59,4.45,82.54,86.58,2708997,3929171
202101,24.50,2.17,4.66,82.44,84.55,2684448,3972770
202102,24.53,1.97,4.55,81.80,85.24,2684448,3972770
202103,24.04,1.87,4.62,80.93,86.44,2684448,3972770
202104,24.21,1.86,4.64,80.83,85.61,2773067,4177971
202105,24.27,1.80,4.66,80.89,85.61,2773067,4177971
202106,24.30,1.88,4.66,80.39,84.59,2773067,4177971
202107,24.58,1.86,4.64,80.17,84.26,2816495,4327358
202108,24.37,1.90,4.63,79.37,83.69,2816495,4327358
202109,25.18,1.91,4.62,79.11,83.68,2816495,4327358
202110,25.32,1.93,4.63,78.27,83.12,2846069,4498592
202111,25.59,1.93,4.62,78.26,82.94,2846069,4498592
202112,25.66,1.85,4.63,77.49,83.55,2846069,4498592
202201,25.87,2.56,4.69,77.55,80.90,2819330,4508598
202202,25.85,2.36,4.56,78.03,79.91,2819330,4508598
202203,24.78,2.20,4.62,78.37,79.94,2819330,4508598
202204,24.34,2.33,4.72,79.90,78.48,2924458,4897943
202205,24.74,2.36,4.76,80.00,77.42,2924458,4897943
202206,24.66,2.38,4.78,81.25,78.46,2924458,4897943
